epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7689,1.20009,2.29544,1.49044,0.48937,0.48819,0.51306,0.31549,1.38003,1.82495,1.85612,0.00043342,0.00043342,0.00043342
2,42.9854,1.05723,1.17414,1.37658,0.31074,0.45577,0.37673,0.19343,1.73708,2.38094,2.21655,0.000848523,0.000848523,0.000848523
3,60.6205,1.10771,1.17425,1.41378,0.1983,0.25551,0.13179,0.04803,2.32442,7.91695,3.17122,0.00122798,0.00122798,0.00122798
4,78.0214,1.14038,1.20302,1.45051,0.20377,0.14601,0.07664,0.02646,2.89238,3.77834,3.28278,0.00146896,0.00146896,0.00146896
5,95.6911,1.14915,1.18895,1.45738,0.30027,0.21928,0.1895,0.06831,2.46462,3.75757,3.01624,0.00140295,0.00140295,0.00140295
6,113.281,1.08617,1.11106,1.41069,0.57028,0.47018,0.47363,0.2527,1.76106,3.30181,2.31865,0.00133693,0.00133693,0.00133693
7,130.696,1.04694,1.03437,1.37015,0.47942,0.54722,0.51945,0.30714,1.509,1.75331,1.95776,0.00127092,0.00127092,0.00127092
8,156.37,1.02316,1.00116,1.36722,0.51408,0.58423,0.59223,0.37959,1.36847,1.72617,1.77259,0.00120491,0.00120491,0.00120491
9,174.276,0.96644,0.95069,1.3233,0.73359,0.61314,0.67815,0.43855,1.23122,1.27791,1.65067,0.00113889,0.00113889,0.00113889
10,191.852,0.96612,0.94021,1.3202,0.68209,0.69407,0.73109,0.45662,1.28883,1.20288,1.70373,0.00107288,0.00107288,0.00107288
11,209.366,0.94911,0.88542,1.30312,0.75053,0.68189,0.74472,0.49175,1.19477,1.02572,1.62193,0.00100687,0.00100687,0.00100687
12,226.911,0.92301,0.84564,1.28525,0.68453,0.73014,0.75951,0.49816,1.13044,1.05721,1.54305,0.000940855,0.000940855,0.000940855
13,244.475,0.89875,0.82974,1.26574,0.81974,0.69212,0.79349,0.55276,1.05721,0.95153,1.45728,0.000874842,0.000874842,0.000874842
14,262.064,0.8937,0.80322,1.26501,0.7988,0.72808,0.81511,0.5593,1.07355,0.88737,1.47489,0.000808828,0.000808828,0.000808828
15,279.624,0.8585,0.76881,1.24252,0.78864,0.77157,0.82941,0.57688,1.04795,0.89378,1.47269,0.000742815,0.000742815,0.000742815
16,301.417,0.84274,0.68826,1.25568,0.76644,0.74513,0.82348,0.57003,1.0597,0.91226,1.47984,0.000676802,0.000676802,0.000676802
17,318.729,0.81863,0.63376,1.24717,0.78244,0.75805,0.83043,0.58132,1.02349,0.87959,1.43404,0.000610789,0.000610789,0.000610789
18,336.276,0.80394,0.61603,1.23194,0.76208,0.75851,0.82854,0.57208,1.0452,0.90474,1.45849,0.000544776,0.000544776,0.000544776
19,361.861,0.7741,0.58401,1.20027,0.80942,0.77885,0.84423,0.59356,1.01015,0.79355,1.41872,0.000478762,0.000478762,0.000478762
20,387.745,0.75108,0.55418,1.19145,0.82801,0.75488,0.83613,0.59596,0.97844,0.87131,1.37323,0.000412749,0.000412749,0.000412749
21,405.366,0.73525,0.53422,1.181,0.81328,0.82321,0.87371,0.62195,0.96712,0.71571,1.36713,0.000346736,0.000346736,0.000346736
22,423.095,0.71733,0.51029,1.15991,0.83532,0.82111,0.8828,0.63149,0.95993,0.70134,1.36616,0.000280723,0.000280723,0.000280723
23,440.915,0.68718,0.48394,1.13671,0.85833,0.79439,0.8812,0.63229,0.94353,0.68593,1.35401,0.00021471,0.00021471,0.00021471
24,458.325,0.6613,0.46106,1.12112,0.85458,0.83139,0.90136,0.65516,0.9293,0.66639,1.34751,0.000148696,0.000148696,0.000148696
25,475.699,0.64521,0.43652,1.10864,0.85391,0.82906,0.89804,0.65853,0.93474,0.65806,1.34465,8.26832e-05,8.26832e-05,8.26832e-05
