epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8822,1.57691,5.29774,1.98235,0.25882,0.0082,0.00408,0.0012,2.04133,5.72343,2.57285,7.5e-05,7.5e-05,7.5e-05
2,22.4027,1.42194,4.28097,1.83275,0.22014,0.50436,0.32505,0.17169,1.28809,8.0179,1.69716,0.000156065,0.000156065,0.000156065
3,28.0945,1.16202,2.29705,1.43792,0.3634,0.74211,0.58438,0.37346,1.15178,3.23913,1.48253,0.0002302,0.0002302,0.0002302
4,33.5651,1.14697,1.68341,1.36946,0.80802,0.87057,0.84918,0.58864,1.05756,1.91991,1.41946,0.000297405,0.000297405,0.000297405
5,38.9419,1.12081,1.31994,1.32223,0.88407,0.7476,0.81748,0.55693,1.10643,2.44265,1.35208,0.00035768,0.00035768,0.00035768
6,44.2995,1.12886,1.15764,1.28736,0.68276,0.8803,0.88386,0.61261,1.04161,1.79996,1.36324,0.000411025,0.000411025,0.000411025
7,49.544,1.08527,0.99523,1.25178,0.61293,0.49864,0.65079,0.41907,1.17598,1.79482,1.50819,0.00045744,0.00045744,0.00045744
8,54.6771,1.09054,0.92104,1.24998,0.86066,0.65245,0.71416,0.44615,1.11757,1.55128,1.45334,0.000496925,0.000496925,0.000496925
9,59.9334,1.0939,0.85098,1.26421,0.72918,0.57637,0.73727,0.4575,1.31864,3.36186,1.60015,0.00052948,0.00052948,0.00052948
10,65.1758,1.08974,0.87636,1.25798,0.79881,0.64408,0.78745,0.50949,1.22584,2.90478,1.55051,0.000555105,0.000555105,0.000555105
11,71.318,1.09506,0.83919,1.25278,0.6967,0.59238,0.70422,0.43068,1.20813,2.28553,1.51257,0.0005738,0.0005738,0.0005738
12,76.6154,1.07333,0.80502,1.23102,0.60352,0.61678,0.66447,0.37317,1.38261,2.31755,1.59414,0.000585565,0.000585565,0.000585565
13,82.0359,1.05275,0.79583,1.22438,0.78032,0.83487,0.93217,0.59034,1.17563,1.14191,1.5382,0.0005904,0.0005904,0.0005904
14,87.6575,1.0764,0.75412,1.2406,0.86468,0.8915,0.93331,0.58113,1.11032,1.00163,1.4441,0.000588305,0.000588305,0.000588305
15,92.8393,1.09166,0.72237,1.25002,0.77474,0.77933,0.8513,0.55481,1.12627,2.05763,1.50881,0.000557,0.000557,0.000557
16,101.322,1.10116,0.64503,1.33808,0.93559,0.73942,0.87596,0.5613,1.15904,1.23668,1.48341,0.0005075,0.0005075,0.0005075
17,106.787,1.05881,0.59713,1.33753,0.79734,0.84754,0.9011,0.58989,1.10638,1.10199,1.46367,0.000458,0.000458,0.000458
18,112.028,1.05833,0.59482,1.30478,0.8117,0.89159,0.86787,0.60146,1.04451,1.21047,1.37091,0.0004085,0.0004085,0.0004085
19,117.205,1.06178,0.54433,1.31378,0.85847,0.86416,0.88415,0.62504,1.03584,0.97041,1.36101,0.000359,0.000359,0.000359
20,122.625,1.04376,0.53825,1.3183,0.91928,0.92901,0.91333,0.65016,1.02212,0.76282,1.38813,0.0003095,0.0003095,0.0003095
21,127.798,0.98469,0.51411,1.26596,0.92105,0.9263,0.93102,0.6568,1.02885,0.62232,1.34436,0.00026,0.00026,0.00026
22,133.466,0.9746,0.50689,1.26367,0.90605,0.93114,0.93765,0.67465,0.98356,0.61407,1.30018,0.0002105,0.0002105,0.0002105
23,138.896,0.95903,0.47649,1.22869,0.92139,0.92505,0.92835,0.68004,0.9985,0.53467,1.33912,0.000161,0.000161,0.000161
24,144.407,0.92735,0.45783,1.22503,0.93167,0.94643,0.9355,0.70086,0.97757,0.47284,1.29854,0.0001115,0.0001115,0.0001115
25,150.245,0.91142,0.43277,1.2106,0.92511,0.92812,0.93094,0.71046,0.94824,0.49597,1.27663,6.2e-05,6.2e-05,6.2e-05
